=~=~=~=~=~=~=~=~=~=~=~= PuTTY log 2025.04.12 21:51:42 =~=~=~=~=~=~=~=~=~=~=~=
=J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,J
SB)G4TjI$-U&røXL,1J=P^SI}C$JKÒKVSCa-JK,









Found Edge
-47
-47
270,178.98,180.64
273,179.33,180.64
274,179.33,180.64
276,179.33,180.64
278,179.33,180.64
280,179.33,180.64
282,179.33,180.64
283,179.33,180.64
286,179.33,180.64
288,179.33,180.64
290,179.33,180.64
291,179.33,180.64
293,179.33,180.64
295,179.33,180.64
297,179.33,180.42
299,179.33,180.42
300,179.33,180.42
303,179.33,180.42
304,179.33,180.42
306,179.33,180.42
308,179.33,180.42
310,179.33,180.42
312,179.33,180.20
313,179.33,180.20
315,179.33,180.20
317,178.98,180.20
319,178.98,180.20
320,178.98,180.20
323,179.33,180.20
324,179.33,180.20
328,178.98,180.20
329,178.98,180.20
331,178.98,180.20
333,179.33,180.20
334,179.33,180.20
336,179.33,180.20
338,178.98,180.20
340,178.98,180.20
341,178.98,180.20
344,178.98,180.20
345,178.98,180.42
348,178.98,180.42
349,178.98,180.42
351,178.98,180.64
353,178.98,180.64
355,178.98,180.64
356,179.33,180.86
358,179.33,180.86
360,179.33,180.86
362,178.98,180.86
364,178.98,181.07
365,178.98,181.07
368,179.33,181.07
369,179.33,181.07
372,178.98,181.29
374,178.98,181.29
376,178.98,181.29
378,178.98,181.29
379,178.98,181.51
381,178.98,181.51
383,179.33,181.51
385,179.33,181.51
386,178.98,181.51
389,178.98,181.73
390,178.98,181.73
392,178.98,181.73
394,178.98,181.73
396,178.98,181.95
398,179.33,181.95
400,179.33,181.95
402,178.98,181.95
403,178.98,181.95
405,178.98,182.17
407,178.98,182.17
409,178.98,182.17
410,178.98,182.17
412,178.98,182.39
415,178.98,182.39
417,179.33,182.39
419,179.33,182.61
420,179.33,182.61
423,178.98,182.61
424,178.98,182.61
426,178.98,182.83
428,178.98,182.83
430,178.98,182.83
431,179.33,182.83
434,179.33,183.05
435,179.33,183.05
437,178.98,183.05
439,178.98,183.05
441,178.98,183.26
443,178.98,183.26
444,178.98,183.26
446,179.33,183.26
448,179.33,183.48
450,179.33,183.48
452,178.98,183.48
454,178.98,183.48
456,178.98,183.48
458,178.98,183.70
460,178.98,183.70
462,178.98,183.70
464,178.98,183.70
465,178.98,183.70
468,178.98,183.92
469,178.98,183.92
471,178.98,184.14
473,178.98,184.14
475,178.98,184.14
476,179.33,184.36
478,179.33,184.36
480,179.33,184.36
482,178.98,184.36
484,178.98,184.58
485,178.98,184.58
488,178.98,184.58
489,178.98,184.58
491,178.98,184.80
493,178.98,184.80
495,178.98,184.80
497,178.98,185.02
500,178.98,185.02
501,178.98,185.24
503,178.98,185.24
505,178.98,185.24
506,178.98,185.45
509,178.98,185.45
510,178.98,185.45
512,178.98,185.67
514,178.98,185.67
516,178.98,185.67
518,178.98,185.89
519,178.98,185.89
521,178.98,186.11
523,178.98,186.11
525,178.98,186.11
527,178.98,186.33
529,178.98,186.33
530,178.98,186.55
532,179.33,186.55
534,179.33,186.55
536,179.33,186.77
538,178.98,186.77
539,178.98,186.77
543,178.63,186.99
544,178.63,186.99
546,178.63,186.99
